dataset,method,display,metric,repeat_count,mean,sample_sd,minimum,maximum
levine13,dire_topology,DiRe (topology preset),dtw_beta0,20,0.5203065712929674,0.05386083847285783,0.4233486183432452,0.6171607481739002
levine13,dire_topology,DiRe (topology preset),dtw_beta1,20,15.779736858274152,2.176621922203677,12.737201309716358,19.52814821565062
levine13,cuml_umap,cuML UMAP,dtw_beta0,20,0.6163337125375494,0.04913880257660703,0.5320050539525462,0.7000469539371995
levine13,cuml_umap,cuML UMAP,dtw_beta1,20,14.100855692939813,2.5911901124905095,10.394155006314703,18.456505148978042
levine13,cuml_tsne,cuML t-SNE,dtw_beta0,20,1.3383126214820942,0.03457057892602053,1.2593844506392389,1.4073689253661468
levine13,cuml_tsne,cuML t-SNE,dtw_beta1,20,12.687561615888296,2.691890143635395,7.574581357957416,17.085500937393043
levine13,opentsne,openTSNE,dtw_beta0,10,1.3100424653461815,0.040165805375475816,1.2305315045344476,1.3676121771998235
levine13,opentsne,openTSNE,dtw_beta1,10,14.565809665918525,2.667226755142113,10.903128455869833,18.25510132649043
levine13,umap,umap-learn,dtw_beta0,10,0.6035887956726703,0.05528295828619785,0.5192386793591277,0.6992669625272062
levine13,umap,umap-learn,dtw_beta1,10,15.210953914993718,2.559804857045954,11.355654788570375,18.92230175217465
levine32,dire,DiRe-RAPIDS,dtw_beta0,20,0.43852865322380835,0.049276540869799046,0.35421516044047086,0.5315553970256894
levine32,dire,DiRe-RAPIDS,dtw_beta1,20,6.24186360497297,1.0677455736639572,4.2065148398437495,8.797618587043512
levine32,dire_topology,DiRe (topology preset),dtw_beta0,20,0.5894550101626717,0.045250705498687656,0.5192060819531696,0.7194080290706655
levine32,dire_topology,DiRe (topology preset),dtw_beta1,20,7.526981497403485,0.9197690969430762,6.059871294493685,10.011000429778496
levine32,cuml_umap,cuML UMAP,dtw_beta0,20,0.5481506732824009,0.049752949437156434,0.4579113665267794,0.6293446966859527
levine32,cuml_umap,cuML UMAP,dtw_beta1,20,6.853892467414572,1.0507030035263134,5.025054288977617,9.512033047093068
levine32,cuml_tsne,cuML t-SNE,dtw_beta0,20,1.0704256852988363,0.056570083622397495,0.9676661123839746,1.1664195861372233
levine32,cuml_tsne,cuML t-SNE,dtw_beta1,20,4.6855598531477884,0.973868274812005,3.3367572018424863,6.565766592379428
levine32,opentsne,openTSNE,dtw_beta0,10,1.1233696410309888,0.053630335646701256,1.0602571105721417,1.2263136130486583
levine32,opentsne,openTSNE,dtw_beta1,10,5.514589962228391,0.6510746807438224,4.659447313748322,6.838016612434503
levine32,umap,umap-learn,dtw_beta0,10,0.5878318520760528,0.07907833492924776,0.414493969909386,0.694322432129001
levine32,umap,umap-learn,dtw_beta1,10,7.260633845141027,0.7428759279558048,5.508038596761337,7.957254039987925
