dataset,method,display,subset_size,bottleneck_beta0,bottleneck_beta1,q99_bottleneck_beta0,q99_bottleneck_beta1,dtw_beta0,dtw_beta1,q99_dtw_beta0,q99_dtw_beta1
tenx,cuml_umap,cuML UMAP,4000,0.3910366892814636,0.028788574039936066,2.6149994367508933,0.13134666928990152,0.15375,0.056,0.4105,0.09525
tenx,cuml_tsne,cuML t-SNE,1000,0.3910366892814636,0.02426649071276188,2.4612562821899697,0.02043561784451664,0.353,0.093,0.75,0.022
tenx,cuml_tsne,cuML t-SNE,2000,0.3910366892814636,0.019691619090735912,2.637183019695253,0.08898443153642499,0.324,0.0585,0.5675,0.0655
tenx,cuml_tsne,cuML t-SNE,4000,0.3910366892814636,0.01563531532883644,2.6149994367508933,0.13134666928990152,0.09125,0.04025,0.413,0.092
tenx,cellranger_tsne,Cell Ranger t-SNE,1000,0.3910366892814636,0.022447803989052773,2.4612562821899697,0.02043561784451664,0.335,0.08,0.75,0.021
tenx,cellranger_tsne,Cell Ranger t-SNE,2000,0.3910366892814636,0.02253804262727499,2.637183019695253,0.08898443153642499,0.386,0.057,0.57,0.0675
tenx,cellranger_tsne,Cell Ranger t-SNE,4000,0.3910366892814636,0.016749434173107147,2.6149994367508933,0.13134666928990152,0.138,0.04225,0.41175,0.0875
arxiv,pca2,PCA (2D),1000,0.3852379024028778,0.029324322938919067,0.46490040521371445,0.035388235508208576,1.932,0.528,1.78,0.522
arxiv,pca2,PCA (2D),2000,0.37049227952957153,0.022107288241386414,0.46193402700481456,0.027563620749308293,2.5,0.1735,2.279,0.478
arxiv,pca2,PCA (2D),4000,0.35578441619873047,0.023601874709129333,0.4469823316290332,0.029651723088428505,3.3295,0.124,3.0295,0.142
arxiv,dire_auto,DiRe (auto cuVS),1000,0.3852379024028778,0.03919438272714615,0.46490040521371445,0.047310283535747844,2.157,0.47,2.157,0.469
arxiv,dire_auto,DiRe (auto cuVS),2000,0.37049227952957153,0.02467084303498268,0.46193402700481456,0.029912854468108874,2.6885,0.0965,2.7435,0.098
arxiv,dire_auto,DiRe (auto cuVS),4000,0.35578441619873047,0.023601874709129333,0.4469823316290332,0.029651723088428505,3.58125,0.138,3.65475,0.1425
arxiv,dire,DiRe (IVF-Flat control),1000,0.3852379024028778,0.029324322938919067,0.46490040521371445,0.035388235508208576,2.218,0.47,2.181,0.48
arxiv,dire,DiRe (IVF-Flat control),2000,0.37049227952957153,0.022107288241386414,0.46193402700481456,0.027563620749308293,2.7775,0.126,2.7795,0.1305
arxiv,dire,DiRe (IVF-Flat control),4000,0.35578441619873047,0.023601874709129333,0.4469823316290332,0.029651723088428505,3.7955,0.1255,3.8325,0.12075
arxiv,dire_spectral,DiRe (spectral init),1000,0.3852379024028778,0.029324322938919067,0.4554114505904979,0.035388235508208576,2.469,0.475,1.865,0.117
arxiv,dire_spectral,DiRe (spectral init),2000,0.37049227952957153,0.022107288241386414,0.44968612168814054,0.028005082562167036,3.278,0.095,2.5475,0.459
arxiv,dire_spectral,DiRe (spectral init),4000,0.35578441619873047,0.023601874709129333,0.4314712059115055,0.029651723088428505,4.39875,0.50875,3.4465,0.1
arxiv,dire_topology,DiRe (topology preset),1000,0.3852379024028778,0.029324322938919067,0.46490040521371445,0.0355267554161508,2.245,0.11,1.865,0.101
arxiv,dire_topology,DiRe (topology preset),2000,0.37049227952957153,0.022107288241386414,0.46193402700481456,0.029462256520486334,2.985,0.1245,2.659,0.4345
arxiv,dire_topology,DiRe (topology preset),4000,0.35578441619873047,0.023601874709129333,0.4469823316290332,0.029651723088428505,3.994,0.10225,3.61925,0.10775
arxiv,cuml_umap,cuML UMAP,1000,0.37737491726875305,0.029324322938919067,0.4380566094130737,0.035388235508208576,2.957,0.157,2.126,0.492
arxiv,cuml_umap,cuML UMAP,2000,0.37049227952957153,0.022107288241386414,0.37765561301304623,0.04505831154551479,4.2265,0.5025,2.7535,0.1975
arxiv,cuml_umap,cuML UMAP,4000,0.35578441619873047,0.023601874709129333,0.4469823316290332,0.04110181122488084,5.55875,0.34175,3.68675,0.15875
arxiv,cuml_tsne,cuML t-SNE,1000,0.3852379024028778,0.029324322938919067,0.4554114505904979,0.04345487180887675,4.685,0.382,4.236,0.384
arxiv,cuml_tsne,cuML t-SNE,2000,0.37049227952957153,0.022107288241386414,0.44968612168814054,0.027563620749308293,5.0145,0.431,4.64,0.4325
arxiv,cuml_tsne,cuML t-SNE,4000,0.35578441619873047,0.023601874709129333,0.4314712059115055,0.0315097307599045,5.436,0.42875,5.00225,0.4395
