method,display,k,minimum_source_cells,included_source_clusters,included_source_cells,equal_cluster_weight_recall,source_cell_weighted_recall
dire_spectral,DiRe (spectral init),5,1000,17,1305364,0.4588235294117647,0.6822607334046289
dire_spectral,DiRe (spectral init),5,10000,15,1294801,0.4666666666666668,0.6847138672274737
dire_spectral,DiRe (spectral init),6,0,20,1306127,0.4833333333333334,0.741426624924937
dire_spectral,DiRe (spectral init),6,1000,17,1305364,0.4901960784313726,0.74151475501597
dire_spectral,DiRe (spectral init),6,10000,15,1294801,0.5,0.7442588989865365
dire_spectral,DiRe (spectral init),7,0,20,1306127,0.4428571428571429,0.6481980695598514
dire_spectral,DiRe (spectral init),7,1000,17,1305364,0.45378151260504196,0.6482810268137579
dire_spectral,DiRe (spectral init),7,10000,15,1294801,0.4571428571428572,0.6501271513647934
dire_spectral,DiRe (spectral init),8,0,20,1306127,0.4375,0.597204176929196
dire_spectral,DiRe (spectral init),8,1000,17,1305364,0.4411764705882353,0.5972776558875532
dire_spectral,DiRe (spectral init),8,10000,15,1294801,0.45,0.5991380142585617
dire_spectral,DiRe (spectral init),9,0,20,1306127,0.4444444444444445,0.5746762076820333
dire_spectral,DiRe (spectral init),9,1000,17,1305364,0.4509803921568627,0.5747170052865629
dire_spectral,DiRe (spectral init),9,10000,15,1294801,0.4592592592592592,0.576253888521179
dire_spectral,DiRe (spectral init),10,0,20,1306127,0.42000000000000004,0.531589883678999
dire_spectral,DiRe (spectral init),10,1000,17,1305364,0.4235294117647059,0.5316255848943282
dire_spectral,DiRe (spectral init),10,10000,15,1294801,0.43333333333333335,0.5331260942801249
dire_topology,DiRe (topology preset),1,0,20,1306127,0.3,0.4108704589982444
dire_topology,DiRe (topology preset),1,1000,17,1305364,0.23529411764705882,0.41097732126824393
dire_topology,DiRe (topology preset),1,10000,15,1294801,0.26666666666666666,0.41433007852171877
dire_topology,DiRe (topology preset),2,0,20,1306127,0.325,0.5730568313801032
dire_topology,DiRe (topology preset),2,1000,17,1305364,0.3235294117647059,0.5733251414931008
dire_topology,DiRe (topology preset),2,10000,15,1294801,0.36666666666666664,0.5780023339493868
dire_topology,DiRe (topology preset),3,0,20,1306127,0.35,0.5956391172782841
dire_topology,DiRe (topology preset),3,1000,17,1305364,0.35294117647058826,0.5959298198305862
dire_topology,DiRe (topology preset),3,10000,15,1294801,0.39999999999999986,0.6007914214874203
dire_topology,DiRe (topology preset),4,0,20,1306127,0.425,0.6632683881429601
dire_topology,DiRe (topology preset),4,1000,17,1305364,0.4411764705882353,0.663500180792484
dire_topology,DiRe (topology preset),4,10000,15,1294801,0.48333333333333334,0.6679402858045368
dire_topology,DiRe (topology preset),5,0,20,1306127,0.4800000000000001,0.7359841730551471
dire_topology,DiRe (topology preset),5,1000,17,1305364,0.49411764705882355,0.736180559598702
dire_topology,DiRe (topology preset),5,10000,15,1294801,0.5200000000000001,0.7397765370894833
dire_topology,DiRe (topology preset),6,0,20,1306127,0.4750000000000001,0.71824128383636
dire_topology,DiRe (topology preset),6,1000,17,1305364,0.48039215686274517,0.7183158618336852
dire_topology,DiRe (topology preset),6,10000,15,1294801,0.49999999999999994,0.721519239893492
dire_topology,DiRe (topology preset),7,0,20,1306127,0.45000000000000007,0.653888393482629
dire_topology,DiRe (topology preset),7,1000,17,1305364,0.46218487394957986,0.6539746767951314
dire_topology,DiRe (topology preset),7,10000,15,1294801,0.4857142857142857,0.6570326802563262
dire_topology,DiRe (topology preset),8,0,20,1306127,0.45625,0.6165618848703074
dire_topology,DiRe (topology preset),8,1000,17,1305364,0.47058823529411764,0.6166069387542479
dire_topology,DiRe (topology preset),8,10000,15,1294801,0.48333333333333334,0.6186249856155502
dire_topology,DiRe (topology preset),9,0,20,1306127,0.47222222222222215,0.6038859756959146
dire_topology,DiRe (topology preset),9,1000,17,1305364,0.4901960784313725,0.6039481878021933
dire_topology,DiRe (topology preset),9,10000,15,1294801,0.5037037037037038,0.6057235393272359
dire_topology,DiRe (topology preset),10,0,20,1306127,0.48999999999999994,0.6202097498941525
dire_topology,DiRe (topology preset),10,1000,17,1305364,0.5117647058823529,0.620301157378325
dire_topology,DiRe (topology preset),10,10000,15,1294801,0.5333333333333332,0.6225250830050332
cuml_umap,cuML UMAP,1,0,20,1306127,0.2,0.21055456322394378
cuml_umap,cuML UMAP,1,1000,17,1305364,0.17647058823529413,0.210638565181819
cuml_umap,cuML UMAP,1,10000,15,1294801,0.2,0.21235695678332037
cuml_umap,cuML UMAP,2,0,20,1306127,0.45,0.631506737093713
cuml_umap,cuML UMAP,2,1000,17,1305364,0.4411764705882353,0.6317896770555952
cuml_umap,cuML UMAP,2,10000,15,1294801,0.5,0.6369438237999507
cuml_umap,cuML UMAP,3,0,20,1306127,0.4833333333333333,0.7194558160628075
