dataset,basis,metric,dire_method,competitor,competitor_display,pair_id_field,paired_record_count,paired_ids,dire_mean,competitor_mean,paired_gap_competitor_minus_dire_mean,paired_gap_std,paired_gap_values,relative_gap_vs_competitor,descriptive_paired_standardized_gap
tenx,subset,bottleneck_beta1,dire_auto,dire_spectral,DiRe (spectral init),subset_id,10,"0,1,2,3,4,5,6,7,8,9",0.032455158047378065,0.03821811769157648,0.0057629596441984175,0.009259556044753797,"[0.007778972387313843, -0.013073612004518509, 8.898600935935974e-05, 0.023345228284597397, 0.0075863078236579895, 0.012790709733963013, 0.006339255720376968, 0.006896140053868294, 0.002176661044359207, 0.0037009473890066147]",0.15079129984124287,0.6223796925408263
tenx,subset,q99_dtw_beta0,dire_auto,dire_spectral,DiRe (spectral init),subset_id,10,"0,1,2,3,4,5,6,7,8,9",0.41525000000000006,0.40969999999999995,-0.005550000000000011,0.00330991775661505,"[-0.0037499999999999756, -0.0034999999999999476, -0.008000000000000007, -0.009500000000000008, -0.011750000000000038, -0.00275000000000003, -0.003500000000000003, -0.0012500000000000289, -0.005250000000000032, -0.006250000000000033]",-0.013546497437149162,-1.6767788229505205
tenx,subset,q99_dtw_beta1,dire_auto,dire_spectral,DiRe (spectral init),subset_id,10,"0,1,2,3,4,5,6,7,8,9",0.074075,0.0834,0.009325,0.005382649595382062,"[0.012249999999999997, 0.0050000000000000044, 0.010499999999999995, 0.006499999999999992, 0.018250000000000002, 0.01725, 0.0050000000000000044, 0.004750000000000004, 0.010749999999999996, 0.0029999999999999957]",0.111810551558753,1.7324181771000289
tenx,subset,q99_bottleneck_beta0,dire_auto,dire_spectral,DiRe (spectral init),subset_id,10,"0,1,2,3,4,5,6,7,8,9",2.687212553767567,2.687212553767567,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,
tenx,subset,q99_bottleneck_beta1,dire_auto,dire_spectral,DiRe (spectral init),subset_id,10,"0,1,2,3,4,5,6,7,8,9",0.05233834839185558,0.05152727540613191,-0.0008110729857236668,0.002161102655572803,"[0.0, -0.006882853224408361, -0.0011059581592812728, -0.00012191847354703356, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.0157406534564633,-0.3753051636081077
tenx,subset,dtw_beta0,dire_auto,dire_topology,DiRe (topology preset),subset_id,10,"0,1,2,3,4,5,6,7,8,9",0.221325,0.27197499999999997,0.050649999999999994,0.025006165906298658,"[0.07625000000000001, 0.055499999999999994, 0.04199999999999998, 0.07600000000000001, 0.05049999999999999, 0.0022500000000000298, 0.057999999999999996, 0.05975, 0.014499999999999957, 0.07175000000000001]",0.18623035205441676,2.0255004381636152
tenx,subset,dtw_beta1,dire_auto,dire_topology,DiRe (topology preset),subset_id,10,"0,1,2,3,4,5,6,7,8,9",0.046475,0.0503,0.0038250000000000007,0.007767498167220755,"[0.01575, -0.0037499999999999964, 0.0075, 0.006750000000000006, 0.0072499999999999995, -0.005250000000000005, 0.006249999999999999, 0.00825, 0.005749999999999998, -0.010249999999999999]",0.0760437375745527,0.4924365500518171
tenx,subset,bottleneck_beta0,dire_auto,dire_topology,DiRe (topology preset),subset_id,10,"0,1,2,3,4,5,6,7,8,9",0.4270747244358063,0.4270747244358063,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,
tenx,subset,bottleneck_beta1,dire_auto,dire_topology,DiRe (topology preset),subset_id,10,"0,1,2,3,4,5,6,7,8,9",0.032455158047378065,0.02844634437933564,-0.004008813668042422,0.012172707644394447,"[0.0018939860165119171, -0.010485008358955383, -0.018666714429855347, 0.0050220787525177, -0.01582198403775692, 0.001916777342557907, -0.008061817847192287, 0.0218129251152277, -0.014124933630228043, -0.003573445603251457]",-0.14092544246052774,-0.32932801683514407
tenx,subset,q99_dtw_beta0,dire_auto,dire_topology,DiRe (topology preset),subset_id,10,"0,1,2,3,4,5,6,7,8,9",0.41525000000000006,0.4165,0.0012499999999999844,0.003272358986011951,"[0.006500000000000006, -0.0015000000000000013, 0.0005000000000000004, -0.000250000000000028, -0.0044999999999999485, 0.005999999999999894, 0.0005000000000000004, 0.0012499999999999734, 0.0027499999999999747, 0.0012499999999999734]",0.0030012004801920397,0.3819874302737699
tenx,subset,q99_dtw_beta1,dire_auto,dire_topology,DiRe (topology preset),subset_id,10,"0,1,2,3,4,5,6,7,8,9",0.074075,0.079275,0.005199999999999997,0.0033141112433551978,"[0.010499999999999995, 0.0040000000000000036, 0.007749999999999993, 0.0037499999999999895, 0.006999999999999992, 0.008750000000000008, -0.0002500000000000002, 0.0040000000000000036, 0.0049999999999999906, 0.0014999999999999944]",0.06559444970040994,1.5690481152152063
tenx,subset,q99_bottleneck_beta0,dire_auto,dire_topology,DiRe (topology preset),subset_id,10,"0,1,2,3,4,5,6,7,8,9",2.687212553767567,2.687212553767567,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,
tenx,subset,q99_bottleneck_beta1,dire_auto,dire_topology,DiRe (topology preset),subset_id,10,"0,1,2,3,4,5,6,7,8,9",0.05233834839185558,0.05111271791921686,-0.0012256304726387265,0.0026082337360806202,"[0.0, -0.006882853224408361, -0.005373451501978904, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.023978972798429997,-0.46990822014305944
tenx,subset,dtw_beta0,dire_auto,pca2,PCA (2D),subset_id,10,"0,1,2,3,4,5,6,7,8,9",0.221325,0.306675,0.08535000000000001,0.030358780534724322,"[0.10624999999999998, 0.07299999999999998, 0.03925000000000001, 0.10874999999999999, 0.10550000000000004, 0.12725000000000003, 0.09475000000000003, 0.05349999999999999, 0.04574999999999996, 0.0995]",0.2783076546832967,2.811377746295732
tenx,subset,dtw_beta1,dire_auto,pca2,PCA (2D),subset_id,10,"0,1,2,3,4,5,6,7,8,9",0.046475,0.05775,0.011275,0.013887669390906132,"[0.028499999999999998, 0.00775, 0.01625, 0.006000000000000005, 0.014249999999999999, -0.008000000000000007, 0.020499999999999997, 0.01575, 0.026250000000000002, -0.014499999999999999]",0.19523809523809524,0.8118712854284283
tenx,subset,bottleneck_beta0,dire_auto,pca2,PCA (2D),subset_id,10,"0,1,2,3,4,5,6,7,8,9",0.4270747244358063,0.4270747244358063,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,
tenx,subset,bottleneck_beta1,dire_auto,pca2,PCA (2D),subset_id,10,"0,1,2,3,4,5,6,7,8,9",0.032455158047378065,0.01955434437841177,-0.012900813668966293,0.009459155832260145,"[-0.007158622145652771, -0.020400715991854668, -0.024352965876460075, 0.0072526708245277405, -0.011827021837234497, -0.015723828226327896, -0.012794993817806244, -0.022595180198550224, -0.01644725725054741, -0.004960222169756889]",-0.6597415602033145,-1.3638440784502657
tenx,subset,q99_dtw_beta0,dire_auto,pca2,PCA (2D),subset_id,10,"0,1,2,3,4,5,6,7,8,9",0.41525000000000006,0.40090000000000003,-0.014350000000000007,0.003306559138036601,"[-0.015000000000000013, -0.013999999999999957, -0.013999999999999957, -0.015750000000000042, -0.02024999999999999, -0.01750000000000007, -0.009749999999999981, -0.011750000000000038, -0.015749999999999986, -0.009750000000000036]",-0.035794462459466214,-4.339858868673034
