dataset,m,metric,dire_method,competitor,competitor_display,dire_value,competitor_value,gap_competitor_minus_dire,winner
arxiv,1000,dtw_beta0,dire_auto,cuml_tsne,cuML t-SNE,2.196,4.047,1.8509999999999995,dire_auto
arxiv,1000,dtw_beta1,dire_auto,cuml_tsne,cuML t-SNE,0.409,0.349,-0.06,cuml_tsne
arxiv,1000,bottleneck_beta0,dire_auto,cuml_tsne,cuML t-SNE,0.3852379024028778,0.3852379024028778,0.0,tie
arxiv,1000,bottleneck_beta1,dire_auto,cuml_tsne,cuML t-SNE,0.029324322938919067,0.029324322938919067,0.0,tie
arxiv,1000,q99_dtw_beta0,dire_auto,cuml_tsne,cuML t-SNE,2.135,3.793,1.6580000000000004,dire_auto
arxiv,1000,q99_dtw_beta1,dire_auto,cuml_tsne,cuML t-SNE,0.447,0.392,-0.05499999999999999,cuml_tsne
arxiv,1000,q99_bottleneck_beta0,dire_auto,cuml_tsne,cuML t-SNE,0.46490040521371445,0.46490040521371445,0.0,tie
arxiv,1000,q99_bottleneck_beta1,dire_auto,cuml_tsne,cuML t-SNE,0.035388235508208576,0.046129105309275414,0.010740869801066838,dire_auto
arxiv,2000,dtw_beta0,dire_auto,cuml_tsne,cuML t-SNE,2.733,4.934,2.201,dire_auto
arxiv,2000,dtw_beta1,dire_auto,cuml_tsne,cuML t-SNE,0.1205,0.417,0.2965,dire_auto
arxiv,2000,bottleneck_beta0,dire_auto,cuml_tsne,cuML t-SNE,0.37049227952957153,0.37049227952957153,0.0,tie
arxiv,2000,bottleneck_beta1,dire_auto,cuml_tsne,cuML t-SNE,0.022107288241386414,0.027802281081676483,0.00569499284029007,dire_auto
arxiv,2000,q99_dtw_beta0,dire_auto,cuml_tsne,cuML t-SNE,2.7235,4.053,1.3295,dire_auto
arxiv,2000,q99_dtw_beta1,dire_auto,cuml_tsne,cuML t-SNE,0.1215,0.4095,0.288,dire_auto
arxiv,2000,q99_bottleneck_beta0,dire_auto,cuml_tsne,cuML t-SNE,0.46193402700481456,0.4451870830196286,-0.016746943985185947,cuml_tsne
arxiv,2000,q99_bottleneck_beta1,dire_auto,cuml_tsne,cuML t-SNE,0.027563620749308293,0.08824708869652487,0.060683467947216574,dire_auto
arxiv,4000,dtw_beta0,dire_auto,cuml_tsne,cuML t-SNE,3.7585,5.84925,2.0907499999999994,dire_auto
arxiv,4000,dtw_beta1,dire_auto,cuml_tsne,cuML t-SNE,0.1445,0.42775,0.28325,dire_auto
arxiv,4000,bottleneck_beta0,dire_auto,cuml_tsne,cuML t-SNE,0.35578441619873047,0.3492864966392517,-0.00649791955947876,cuml_tsne
arxiv,4000,bottleneck_beta1,dire_auto,cuml_tsne,cuML t-SNE,0.023601874709129333,0.023601874709129333,0.0,tie
arxiv,4000,q99_dtw_beta0,dire_auto,cuml_tsne,cuML t-SNE,3.73875,1.45875,-2.2800000000000002,cuml_tsne
arxiv,4000,q99_dtw_beta1,dire_auto,cuml_tsne,cuML t-SNE,0.13875,0.10375,-0.03500000000000002,cuml_tsne
arxiv,4000,q99_bottleneck_beta0,dire_auto,cuml_tsne,cuML t-SNE,0.4469823316290332,1.7314310884275939,1.2844487567985605,dire_auto
arxiv,4000,q99_bottleneck_beta1,dire_auto,cuml_tsne,cuML t-SNE,0.029651723088428505,0.03760475949860542,0.007953036410176917,dire_auto
arxiv,1000,dtw_beta0,dire_auto,cuml_umap,cuML UMAP,2.196,2.957,0.7609999999999997,dire_auto
arxiv,1000,dtw_beta1,dire_auto,cuml_umap,cuML UMAP,0.409,0.157,-0.252,cuml_umap
arxiv,1000,bottleneck_beta0,dire_auto,cuml_umap,cuML UMAP,0.3852379024028778,0.37737491726875305,-0.007862985134124756,cuml_umap
arxiv,1000,bottleneck_beta1,dire_auto,cuml_umap,cuML UMAP,0.029324322938919067,0.029324322938919067,0.0,tie
arxiv,1000,q99_dtw_beta0,dire_auto,cuml_umap,cuML UMAP,2.135,2.126,-0.008999999999999897,cuml_umap
arxiv,1000,q99_dtw_beta1,dire_auto,cuml_umap,cuML UMAP,0.447,0.492,0.044999999999999984,dire_auto
arxiv,1000,q99_bottleneck_beta0,dire_auto,cuml_umap,cuML UMAP,0.46490040521371445,0.4380566094130737,-0.026843795800640724,cuml_umap
arxiv,1000,q99_bottleneck_beta1,dire_auto,cuml_umap,cuML UMAP,0.035388235508208576,0.035388235508208576,0.0,tie
arxiv,2000,dtw_beta0,dire_auto,cuml_umap,cuML UMAP,2.733,4.2265,1.4934999999999996,dire_auto
arxiv,2000,dtw_beta1,dire_auto,cuml_umap,cuML UMAP,0.1205,0.5025,0.38199999999999995,dire_auto
arxiv,2000,bottleneck_beta0,dire_auto,cuml_umap,cuML UMAP,0.37049227952957153,0.37049227952957153,0.0,tie
arxiv,2000,bottleneck_beta1,dire_auto,cuml_umap,cuML UMAP,0.022107288241386414,0.022107288241386414,0.0,tie
arxiv,2000,q99_dtw_beta0,dire_auto,cuml_umap,cuML UMAP,2.7235,2.7535,0.029999999999999805,dire_auto
arxiv,2000,q99_dtw_beta1,dire_auto,cuml_umap,cuML UMAP,0.1215,0.1975,0.07600000000000001,dire_auto
arxiv,2000,q99_bottleneck_beta0,dire_auto,cuml_umap,cuML UMAP,0.46193402700481456,0.37765561301304623,-0.08427841399176833,cuml_umap
arxiv,2000,q99_bottleneck_beta1,dire_auto,cuml_umap,cuML UMAP,0.027563620749308293,0.04505831154551479,0.017494690796206497,dire_auto
arxiv,4000,dtw_beta0,dire_auto,cuml_umap,cuML UMAP,3.7585,5.55875,1.8002499999999997,dire_auto
arxiv,4000,dtw_beta1,dire_auto,cuml_umap,cuML UMAP,0.1445,0.34175,0.19725,dire_auto
arxiv,4000,bottleneck_beta0,dire_auto,cuml_umap,cuML UMAP,0.35578441619873047,0.35578441619873047,0.0,tie
arxiv,4000,bottleneck_beta1,dire_auto,cuml_umap,cuML UMAP,0.023601874709129333,0.023601874709129333,0.0,tie
arxiv,4000,q99_dtw_beta0,dire_auto,cuml_umap,cuML UMAP,3.73875,3.68675,-0.052000000000000046,cuml_umap
arxiv,4000,q99_dtw_beta1,dire_auto,cuml_umap,cuML UMAP,0.13875,0.15875,0.01999999999999999,dire_auto
arxiv,4000,q99_bottleneck_beta0,dire_auto,cuml_umap,cuML UMAP,0.4469823316290332,0.4469823316290332,0.0,tie
arxiv,4000,q99_bottleneck_beta1,dire_auto,cuml_umap,cuML UMAP,0.029651723088428505,0.04110181122488084,0.011450088136452333,dire_auto
arxiv,1000,dtw_beta0,dire_auto,dire,DiRe (IVF-Flat control),2.196,2.217,0.020999999999999908,dire_auto
arxiv,1000,dtw_beta1,dire_auto,dire,DiRe (IVF-Flat control),0.409,0.49,0.08100000000000002,dire_auto
arxiv,1000,bottleneck_beta0,dire_auto,dire,DiRe (IVF-Flat control),0.3852379024028778,0.3852379024028778,0.0,tie
arxiv,1000,bottleneck_beta1,dire_auto,dire,DiRe (IVF-Flat control),0.029324322938919067,0.029324322938919067,0.0,tie
arxiv,1000,q99_dtw_beta0,dire_auto,dire,DiRe (IVF-Flat control),2.135,2.177,0.04200000000000026,dire_auto
arxiv,1000,q99_dtw_beta1,dire_auto,dire,DiRe (IVF-Flat control),0.447,0.496,0.04899999999999999,dire_auto
arxiv,1000,q99_bottleneck_beta0,dire_auto,dire,DiRe (IVF-Flat control),0.46490040521371445,0.46490040521371445,0.0,tie
arxiv,1000,q99_bottleneck_beta1,dire_auto,dire,DiRe (IVF-Flat control),0.035388235508208576,0.035388235508208576,0.0,tie
arxiv,2000,dtw_beta0,dire_auto,dire,DiRe (IVF-Flat control),2.733,2.77,0.03699999999999992,dire_auto
arxiv,2000,dtw_beta1,dire_auto,dire,DiRe (IVF-Flat control),0.1205,0.1195,-0.0010000000000000009,dire
arxiv,2000,bottleneck_beta0,dire_auto,dire,DiRe (IVF-Flat control),0.37049227952957153,0.37049227952957153,0.0,tie
arxiv,2000,bottleneck_beta1,dire_auto,dire,DiRe (IVF-Flat control),0.022107288241386414,0.022107288241386414,0.0,tie
arxiv,2000,q99_dtw_beta0,dire_auto,dire,DiRe (IVF-Flat control),2.7235,2.7875,0.06400000000000006,dire_auto
arxiv,2000,q99_dtw_beta1,dire_auto,dire,DiRe (IVF-Flat control),0.1215,0.1305,0.009000000000000008,dire_auto
arxiv,2000,q99_bottleneck_beta0,dire_auto,dire,DiRe (IVF-Flat control),0.46193402700481456,0.46193402700481456,0.0,tie
arxiv,2000,q99_bottleneck_beta1,dire_auto,dire,DiRe (IVF-Flat control),0.027563620749308293,0.027563620749308293,0.0,tie
arxiv,4000,dtw_beta0,dire_auto,dire,DiRe (IVF-Flat control),3.7585,3.77775,0.01924999999999999,dire_auto
